0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:44:01 +0900] "GET /Shoppingmall/CheckOneShop.jsp HTTP/1.1" 200 4417
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:44:01 +0900] "GET /Shoppingmall/css/images/bg01.jpg HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:47:18 +0900] "GET /Shoppingmall/CheckOneShop.jsp HTTP/1.1" 200 4464
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:47:18 +0900] "GET /Shoppingmall/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:47:18 +0900] "GET /Shoppingmall/images/header%20image.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:47:18 +0900] "GET /Shoppingmall/images/product.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:47:18 +0900] "GET /Shoppingmall/images/best4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:47:18 +0900] "GET /Shoppingmall/images/best5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:47:18 +0900] "GET /Shoppingmall/images/best6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:47:18 +0900] "GET /Shoppingmall/images/best7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:47:18 +0900] "GET /Shoppingmall/images/best3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:47:18 +0900] "GET /Shoppingmall/css/images/bg01.jpg HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:47:18 +0900] "GET /Shoppingmall/images/ad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:55:43 +0900] "GET /Shoppingmall/CheckOneShop.jsp HTTP/1.1" 200 4464
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:55:43 +0900] "GET /Shoppingmall/images/header%20image.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:55:43 +0900] "GET /Shoppingmall/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:55:43 +0900] "GET /Shoppingmall/images/product.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:55:43 +0900] "GET /Shoppingmall/images/best3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:55:43 +0900] "GET /Shoppingmall/images/best4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:55:43 +0900] "GET /Shoppingmall/images/best5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:55:43 +0900] "GET /Shoppingmall/images/best6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:55:43 +0900] "GET /Shoppingmall/images/best7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:55:43 +0900] "GET /Shoppingmall/css/images/bg01.jpg HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:55:43 +0900] "GET /Shoppingmall/images/ad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:55:48 +0900] "GET /Shoppingmall/Best5.jsp HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:55:48 +0900] "GET /Shoppingmall/images/img03.jpg HTTP/1.1" 200 18546
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:55:48 +0900] "GET /Shoppingmall/css/images/bg01.jpg HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:55:57 +0900] "GET /Shoppingmall/CheckOneShop.jsp HTTP/1.1" 200 4464
0:0:0:0:0:0:0:1 - - [04/Jun/2019:16:55:58 +0900] "GET /Shoppingmall/css/images/bg01.jpg HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:11:45 +0900] "GET /Shoppingmall/CheckOneShop.jsp HTTP/1.1" 200 4464
